load_cell, time_of_flight, time
-518037, 844.92, 15:26:13
-518097, 844.84, 15:26:14
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
IAC Sensor kit, v1.0, 15:26:34
Time of Flight..., 15:26:34
 success!, 15:26:35
Load Cell... success!, 15:26:35
Sensors initiated!, 15:26:35
-468161, 845.91, 15:26:35
-518133, 842.56, 15:26:36
-516505, 841.57, 15:26:37
-518075, 841.26, 15:26:38
-517469, 841.54, 15:26:39
load_cell, time_of_flight, time
IAC Sensor kit, v1.0, 15:07:34
Time of Flight..., 15:07:34
 success!, 15:07:34
Load Cell... success!, 15:07:34
Sensors initiated!, 15:07:34
-164303, 323.03, 15:07:35
-180049, 322.99, 15:07:36
-179487, 322.91, 15:07:37
-180257, 323.66, 15:07:38
-179977, 323.90, 15:07:39
-179723, 323.94, 15:07:40
load_cell, time_of_flight, time
IAC Sensor kit, v1.0, 15:08:36
Time of Flight..., 15:08:36
 success!, 15:08:36
Load Cell... success!, 15:08:36
Sensors initiated!, 15:08:36
-252839, 323.54, 15:08:37
-278047, 323.27, 15:08:38
-277477, 322.95, 15:08:39
-277715, 322.95, 15:08:40
-278059, 321.61, 15:08:41
-277275, 322.68, 15:08:42
load_cell, time_of_flight, time
IAC Sensor kit, v1.0, 15:09:33
Time of Flight..., 15:09:33
 success!, 15:09:33
Load Cell... success!, 15:09:33
Sensors initiated!, 15:09:33
-271763, 324.53, 15:09:34
-299969, 325.43, 15:09:35
-299229, 328.03, 15:09:36
-300695, 326.14, 15:09:37
load_cell, time_of_flight, time
IAC Sensor kit, v1.0, 15:10:14
Time of Flight..., 15:10:14
 success!, 15:10:14
Load Cell... success!, 15:10:14
Sensors initiated!, 15:10:14
-260063, 327.05, 15:10:15
-284693, 326.22, 15:10:17
-285651, 328.50, 15:10:17
-283933, 327.72, 15:10:18
-285621, 328.11, 15:10:19
-284911, 326.14, 15:10:21
load_cell, time_of_flight, time
IAC Sensor kit, v1.0, 15:11:23
Time of Flight..., 15:11:23
 success!, 15:11:23
Load Cell... success!, 15:11:23
Sensors initiated!, 15:11:24
-164331, 325.04, 15:11:24
-180631, 325.59, 15:11:26
-181153, 324.41, 15:11:27
-180751, 325.39, 15:11:28
-181427, 323.90, 15:11:29
load_cell, time_of_flight, time
IAC Sensor kit, v1.0, 15:14:40
Time of Flight..., 15:14:41
 success!, 15:14:41
Load Cell... success!, 15:14:41
Sensors initiated!, 15:14:41
-273699, 323.11, 15:14:42
-302225, 324.61, 15:14:43
-302275, 323.66, 15:14:44
-302675, 323.70, 15:14:45
-303071, 323.15, 15:14:46
